,0,1
0,最后,1320
1,一部,840
2,死,780
3,电影,660
4,古天乐,660
5,系列,600
6,真的,540
7,反贪,480
8,想,480
9,太,480
10,剧情,420
11,结尾,420
12,没有,360
13,枪战,360
14,感觉,300
15,拍,300
16,非常,300
17,sir,300
18,主角,300
19,会,300
20,风暴,300
21,ICAC,300
22,导演,300
23,陆,300
24,香港,300
25,魔王,300
26,中,300
27,没,300
28,居然,300
29,像是,240
30,写,240
31,辛苦,240
32,毛,240
33,特效,240
34,演员,240
35,依旧,240
36,港片,240
37,007,240
38,里,240
39,古仔,240
40,唯一,240
41,捅,240
42,部,240
43,挺,240
44,粗糙,180
45,陆志廉,180
46,逻辑,180
47,节奏,180
48,知道,180
49,年,180
